Date,Open,High,Low,Close,Adj Close,Volume
2015-05-14,762.000000,803.000000,755.000000,796.450012,768.419006,1975784
2015-05-15,802.000000,818.000000,785.000000,790.299988,762.485413,1503598
2015-05-18,796.849976,818.000000,762.000000,766.750000,739.764160,6759860
2015-05-19,758.000000,779.299988,750.000000,774.750000,747.482666,3903935
2015-05-20,775.650024,777.950012,764.150024,771.200012,744.057678,1793967
2015-05-21,770.000000,779.799988,766.049988,777.200012,749.846497,1678041
2015-05-22,775.000000,779.799988,771.200012,775.400024,748.109863,1039136
2015-05-25,775.950012,778.750000,754.400024,761.900024,735.084961,1282826
2015-05-26,762.099976,769.000000,755.549988,763.500000,736.628601,906103
2015-05-27,762.000000,762.049988,754.400024,759.250000,732.528198,792609
2015-05-28,760.150024,771.000000,758.500000,767.349976,740.343140,1051538
2015-05-29,768.500000,795.000000,768.000000,787.049988,759.349854,2583950
2015-06-01,787.799988,794.700012,786.299988,789.750000,761.954712,713447
2015-06-02,789.099976,794.299988,756.000000,759.200012,732.480042,1014316
2015-06-03,763.000000,767.000000,750.000000,762.700012,735.856812,867736
2015-06-04,763.900024,766.000000,751.799988,759.599976,732.865967,820596
2015-06-05,759.000000,765.599976,752.000000,758.799988,732.093994,830300
2015-06-08,759.000000,760.000000,745.000000,748.000000,721.674133,795683
2015-06-09,744.799988,751.200012,730.000000,735.700012,709.807068,998511
2015-06-10,736.000000,745.099976,734.599976,739.150024,713.135681,803748
2015-06-11,739.200012,743.700012,702.500000,708.400024,683.467896,1453089
2015-06-12,709.000000,722.799988,702.000000,705.650024,680.814758,1168519
2015-06-15,714.750000,719.400024,696.400024,698.549988,673.964539,1244078
2015-06-16,700.950012,706.000000,693.000000,704.950012,680.139282,2765685
2015-06-17,708.000000,719.200012,705.000000,710.650024,685.638733,2215497
2015-06-18,718.950012,734.349976,718.950012,728.950012,703.294678,1908157
2015-06-19,733.799988,744.900024,729.750000,740.000000,713.955750,1783890
2015-06-22,744.650024,751.549988,732.500000,747.700012,721.384705,1350579
2015-06-23,750.000000,760.000000,741.650024,756.500000,729.875061,980083
2015-06-24,751.900024,759.799988,739.200012,753.650024,731.281982,2982650
2015-06-25,753.000000,759.799988,745.099976,750.200012,727.934387,1858338
2015-06-26,744.099976,754.900024,743.799988,750.250000,727.982910,764357
2015-06-29,743.000000,743.000000,727.500000,736.700012,714.835083,1100309
2015-06-30,737.000000,759.500000,737.000000,755.349976,732.931458,1348105
2015-07-01,757.450012,765.599976,755.099976,760.799988,738.219788,1025215
2015-07-02,763.099976,772.500000,761.099976,762.900024,740.257446,973819
2015-07-03,762.000000,778.400024,758.400024,772.700012,749.766479,1068877
2015-07-06,765.000000,786.150024,762.000000,783.549988,760.294556,652931
2015-07-07,793.000000,827.900024,790.049988,824.599976,800.126221,2464459
2015-07-08,819.799988,835.000000,797.349976,802.250000,778.439514,1933525
2015-07-09,810.000000,814.900024,795.000000,796.950012,773.296936,613555
2015-07-10,806.000000,806.000000,781.700012,795.299988,771.695862,1027281
2015-07-13,805.200012,821.200012,803.299988,817.650024,793.382507,1275702
2015-07-14,823.000000,827.799988,810.299988,822.700012,798.282593,780973
2015-07-15,826.500000,840.500000,823.250000,837.849976,812.983032,1095558
2015-07-16,853.000000,854.299988,843.299988,848.049988,822.880188,1169553
2015-07-17,851.799988,852.400024,823.750000,825.400024,800.902527,1089597
2015-07-20,830.000000,855.950012,827.250000,852.299988,827.004089,1437246
2015-07-21,853.000000,869.700012,811.099976,816.049988,791.829956,4611552
2015-07-22,820.000000,845.000000,820.000000,843.299988,818.271240,2035530
2015-07-23,846.000000,851.799988,836.099976,846.500000,821.376160,1188579
2015-07-24,852.000000,856.000000,845.000000,849.000000,823.802002,1132540
2015-07-27,847.000000,859.599976,836.000000,853.150024,827.828796,1153262
2015-07-28,857.000000,858.200012,825.000000,835.150024,810.363159,1009835
2015-07-29,834.400024,852.799988,826.250000,846.849976,821.715820,1010065
2015-07-30,848.000000,866.450012,847.500000,857.549988,832.098267,1318726
2015-07-31,864.500000,885.000000,855.150024,882.799988,856.598816,1842105
2015-08-03,880.000000,888.000000,875.000000,877.500000,851.456177,763822
2015-08-04,884.000000,908.849976,878.150024,905.700012,878.819275,2178289
2015-08-05,905.000000,926.799988,885.750000,923.299988,895.896912,2003128
2015-08-06,920.000000,924.500000,910.099976,916.099976,888.910583,923303
2015-08-07,911.000000,924.400024,895.200012,898.650024,871.978516,1416068
2015-08-10,903.500000,916.250000,895.400024,902.150024,875.374634,732357
2015-08-11,905.000000,906.950012,881.000000,883.400024,857.181091,1091087
2015-08-12,890.000000,895.500000,867.000000,871.349976,845.488647,721554
2015-08-13,872.150024,886.950012,862.349976,874.349976,848.399658,1251179
2015-08-14,880.000000,900.000000,879.549988,895.250000,868.679443,880842
2015-08-17,903.500000,907.250000,895.000000,900.049988,873.336853,577133
2015-08-18,906.950012,914.900024,891.900024,901.349976,874.598328,622790
2015-08-19,898.500000,902.599976,881.599976,899.750000,873.045837,618923
2015-08-20,905.000000,914.250000,879.549988,883.200012,856.986938,1404599
2015-08-21,875.000000,893.000000,864.000000,886.750000,860.431641,905933
2015-08-24,858.000000,877.200012,825.500000,837.500000,812.643311,1176140
2015-08-25,850.000000,866.000000,811.750000,852.150024,826.858643,1329631
2015-08-26,851.000000,868.099976,847.000000,851.900024,826.616028,1265081
2015-08-27,860.000000,865.000000,850.500000,855.000000,829.623962,1335712
2015-08-28,866.849976,874.099976,850.000000,858.250000,832.777466,1077558
2015-08-31,857.000000,862.750000,845.049988,848.599976,823.413879,1260477
2015-09-01,844.000000,844.099976,802.799988,819.099976,794.789490,1438466
2015-09-02,829.900024,830.000000,799.150024,806.000000,782.078308,1500676
2015-09-03,815.000000,833.000000,806.500000,826.599976,802.066895,887079
2015-09-04,824.000000,824.000000,792.000000,812.849976,788.724915,1101752
2015-09-07,815.000000,819.950012,785.049988,788.000000,764.612549,874378
2015-09-08,791.099976,800.000000,778.000000,791.500000,768.008606,1489813
2015-09-09,800.000000,822.900024,796.000000,821.150024,796.778625,1412900
2015-09-10,817.000000,817.000000,800.299988,807.950012,783.970398,887236
2015-09-11,815.000000,824.900024,810.549988,816.150024,791.927063,1034469
2015-09-14,822.000000,842.400024,819.000000,840.250000,815.311707,1115176
2015-09-15,840.099976,848.000000,823.599976,831.099976,806.433167,832597
2015-09-16,840.000000,840.000000,818.099976,823.950012,799.495544,665278
2015-09-18,826.000000,849.900024,824.000000,841.049988,816.087952,1139255
2015-09-21,838.299988,838.299988,824.000000,829.700012,805.074951,688544
2015-09-22,831.200012,839.400024,802.099976,804.700012,780.816711,826254
2015-09-23,795.099976,804.000000,786.099976,794.099976,770.531433,1281278
2015-09-24,794.900024,814.000000,785.349976,806.349976,782.417786,1503108
2015-09-28,810.000000,813.000000,790.049988,794.450012,770.871094,739132
2015-09-29,783.000000,809.900024,780.000000,804.799988,780.913940,1366194
2015-09-30,808.000000,844.900024,807.900024,841.599976,816.621582,1734244
2015-10-01,845.799988,849.000000,836.150024,839.650024,814.729614,633622
2015-10-05,843.000000,856.950012,842.400024,855.400024,830.012085,882680
2015-10-06,859.900024,864.099976,849.700012,853.700012,828.362610,779669
2015-10-07,855.000000,868.000000,852.200012,865.049988,839.375671,983606
2015-10-08,865.000000,879.950012,860.000000,874.150024,848.205566,952597
2015-10-09,876.500000,884.299988,846.200012,853.799988,828.459534,1362132
2015-10-12,857.000000,865.000000,846.049988,859.250000,833.747864,773525
2015-10-13,862.700012,867.799988,857.250000,865.349976,839.666809,800729
2015-10-14,863.900024,869.500000,860.049988,862.250000,836.658813,404366
2015-10-15,866.000000,878.250000,864.200012,870.049988,844.227295,623054
2015-10-16,871.950012,885.200012,865.599976,882.500000,856.307739,658119
2015-10-19,882.500000,892.400024,867.000000,879.250000,853.154236,1247569
2015-10-20,874.000000,888.900024,872.549988,875.450012,849.467041,1806905
2015-10-21,874.000000,881.549988,847.950012,856.250000,830.836731,1442218
2015-10-23,863.000000,866.099976,850.400024,858.599976,833.117126,2540806
2015-10-26,830.049988,844.000000,811.200012,817.700012,793.431030,3455887
2015-10-27,818.000000,829.900024,818.000000,827.099976,802.551941,1247705
2015-10-28,829.500000,838.000000,823.599976,828.349976,805.908630,1108455
2015-10-29,831.000000,834.799988,820.400024,829.349976,806.881348,1500496
2015-10-30,835.599976,840.000000,826.400024,830.650024,808.146240,810491
2015-11-02,831.000000,837.000000,825.500000,830.099976,807.611206,716702
2015-11-03,832.000000,832.700012,812.049988,814.200012,792.141907,1599110
2015-11-04,814.500000,822.500000,800.549988,802.200012,780.467041,1783909
2015-11-05,807.000000,811.500000,797.150024,805.849976,784.018188,1016171
