"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","14-Sep-2018","       1291.00","       1298.80","       1336.55","       1297.55","       1332.00","       1333.90","       1323.30","    1498792","          1983355450.65","      64989","     839061","         55.98"
"ASIANPAINT","EQ","17-Sep-2018","       1333.90","       1329.95","       1329.95","       1302.00","       1305.00","       1308.65","       1312.27","     965321","          1266761915.85","      37731","     461745","         47.83"
"ASIANPAINT","EQ","18-Sep-2018","       1308.65","       1306.00","       1331.75","       1285.00","       1295.70","       1292.10","       1314.47","    1088372","          1430633646.45","      30679","     517564","         47.55"
"ASIANPAINT","EQ","19-Sep-2018","       1292.10","       1304.20","       1319.20","       1287.00","       1294.00","       1291.35","       1302.51","     929673","          1210909160.35","      57796","     378593","         40.72"
"ASIANPAINT","EQ","21-Sep-2018","       1291.35","       1292.10","       1324.85","       1211.90","       1303.00","       1304.75","       1303.79","    1867297","          2434559523.30","      51045","     897840","         48.08"
"ASIANPAINT","EQ","24-Sep-2018","       1304.75","       1300.00","       1316.65","       1256.00","       1276.00","       1271.95","       1272.97","    1691456","          2153179653.25","      47037","    1026914","         60.71"
"ASIANPAINT","EQ","25-Sep-2018","       1271.95","       1271.80","       1304.85","       1257.15","       1290.00","       1289.90","       1287.32","    1262738","          1625544367.35","      51708","     612624","         48.52"
"ASIANPAINT","EQ","26-Sep-2018","       1289.90","       1300.00","       1303.50","       1274.00","       1280.00","       1282.00","       1283.17","    1338324","          1717295637.35","      51746","     897160","         67.04"
"ASIANPAINT","EQ","27-Sep-2018","       1282.00","       1294.80","       1314.00","       1276.45","       1296.00","       1287.50","       1299.52","    1901166","          2470611383.00","      72542","     913514","         48.05"
"ASIANPAINT","EQ","28-Sep-2018","       1287.50","       1293.00","       1315.00","       1286.00","       1288.00","       1293.30","       1302.36","    1549540","          2018064017.25","      78754","     699806","         45.16"
